A [N+Z]    E_n [MeV]
   16     -9.3275514
   17      0.0000000
   18      0.0000000
   19      0.0000000
   20      0.0000000
   21    -13.3662963
   22      0.0000000
   23      0.0000000
   24      0.0000000
   25      0.0000000
   26    -16.6544803
   27      0.0000000
   28      0.0000000
   29      0.0000000
   30      0.0000000
   31    -17.4401695
   32      0.0000000
   33      0.0000000
   34      0.0000000
   35      0.0000000
   37    -20.1964969
   40      0.0000000
   39      0.0000000
   41      0.0000000
   40      0.0000000
   42    -20.1387009
   44      0.0000000
   45      0.0000000
   48      0.0000000
   51      0.0000000
   52    -22.6472444
   54      0.0000000
   55      0.0000000
   56      0.0000000
   58      0.0000000
   59    -23.3897019
   60      0.0000000
   62      0.0000000
   64      0.0000000
   63      0.0000000
   65    -24.9367543
   64      0.0000000
   66      0.0000000
   68      0.0000000
   70      0.0000000
   69    -25.0801468
   71      0.0000000
   70      0.0000000
   72      0.0000000
   74      0.0000000
   75    -25.5632632
   76      0.0000000
   78      0.0000000
   80      0.0000000
   82      0.0000000
   79    -25.6038817
   81      0.0000000
   82      0.0000000
   84      0.0000000
   85      0.0000000
   87    -27.1646934
   86      0.0000000
   88      0.0000000
   89      0.0000000
   90      0.0000000
   91    -25.8874632
   92      0.0000000
   94      0.0000000
   93      0.0000000
   96      0.0000000
   99    -26.9739614
  100      0.0000000
  102      0.0000000
  103      0.0000000
  106      0.0000000
  108    -27.1987264
  107      0.0000000
  109      0.0000000
  110      0.0000000
  112      0.0000000
  114    -28.2233647
  116      0.0000000
  115      0.0000000
  117      0.0000000
  118      0.0000000
  120    -28.2949272
  122      0.0000000
  124      0.0000000
  121      0.0000000
  123      0.0000000
  126    -28.3376923
  127      0.0000000
  128      0.0000000
  130      0.0000000
  133      0.0000000
  134    -27.9708055
  136      0.0000000
  139      0.0000000
  140      0.0000000
  142      0.0000000
  143    -27.9549669
  144      0.0000000
  146      0.0000000
  149      0.0000000
  150      0.0000000
  152    -28.8391496
  153      0.0000000
  156      0.0000000
  158      0.0000000
  159      0.0000000
  162    -28.5594275
  164      0.0000000
  165      0.0000000
  168      0.0000000
  170      0.0000000
  171    -28.4439546
  174      0.0000000
  176      0.0000000
  175      0.0000000
  177      0.0000000
  178    -28.1617948
  180      0.0000000
  181      0.0000000
  184      0.0000000
  187      0.0000000
  190    -27.9534715
  192      0.0000000
  192      0.0000000
  196      0.0000000
  198      0.0000000
  197    -27.6475351
  200      0.0000000
  202      0.0000000
  203      0.0000000
  205      0.0000000
  204    -27.3361166
  206      0.0000000
  208      0.0000000
  209      0.0000000
  210      0.0000000
  213    -27.1411187
  222      0.0000000
