Stable_Nuclei__A___4_to_220_ (1)
Proton Number (Z),Neutron Number (N),Mass Number (A)
2,2,4
3,3,6
3,4,7
4,5,9
5,6,11
6,6,12
6,7,13
6,8,14
7,7,14
7,8,15
8,8,16
8,9,17
8,10,18
9,10,19
10,10,20
10,11,21
10,12,22
11,12,23
12,12,24
12,13,25
12,14,26
13,14,27
14,14,28
14,15,29
14,16,30
15,16,31
16,16,32
16,17,33
16,18,34
17,18,35
17,20,37
18,22,40
19,20,39
19,22,41
20,20,40
20,22,42
20,24,44
21,24,45
22,26,48
23,28,51
24,28,52
24,30,54
25,30,55
26,30,56
26,32,58
27,32,59
28,32,60
28,34,62
28,36,64
29,34,63
29,36,65
30,34,64
30,36,66
30,38,68
30,40,70
31,38,69
31,40,71
32,38,70
32,40,72
32,42,74
33,42,75
34,42,76
34,44,78
34,46,80
34,48,82
35,44,79
35,46,81
36,46,82
36,48,84
37,48,85
37,50,87
38,48,86
38,50,88
39,50,89
40,50,90
40,51,91
40,52,92
40,54,94
41,52,93
42,54,96
43,56,99
44,56,100
44,58,102
45,58,103
46,60,106
46,62,108
47,60,107
47,62,109
48,62,110
48,64,112
48,66,114
48,68,116
49,66,115
49,68,117
50,68,118
50,70,120
50,72,122
50,74,124
51,70,121
51,72,123
52,74,126
53,74,127
54,74,128
54,76,130
55,78,133
56,78,134
56,80,136
57,82,139
58,82,140
58,84,142
59,84,143
60,84,144
60,86,146
61,88,149
62,88,150
62,90,152
63,90,153
64,92,156
64,94,158
65,94,159
66,96,162
66,98,164
67,98,165
68,100,168
68,102,170
69,102,171
70,104,174
70,106,176
71,104,175
71,106,177
72,106,178
72,108,180
73,108,181
74,110,184
75,112,187
76,114,190
76,116,192
77,115,192
78,118,196
78,120,198
79,118,197
80,120,200
80,122,202
81,122,203
81,124,205
82,122,204
82,124,206
82,126,208
83,126,209
84,126,210
85,128,213
86,136,222
